fault,diff
output/fp_num_560.vcd,0.899101
output/fp_num_540.vcd,0.899101
output/fp_num_537.vcd,0.899101
output/fp_num_554.vcd,0.899101
output/fp_num_539.vcd,0.899101
output/fp_num_563.vcd,0.899101
output/fp_num_541.vcd,0.899101
output/fp_num_545.vcd,0.899101
output/fp_num_274.vcd,0.899101
output/fp_num_558.vcd,0.899101
output/fp_num_566.vcd,0.899101
output/fp_num_555.vcd,0.899101
output/fp_num_553.vcd,0.899101
output/fp_num_547.vcd,0.899101
output/fp_num_542.vcd,0.899101
output/fp_num_551.vcd,0.899101
output/fp_num_682.vcd,0.765901
output/fp_num_703.vcd,0.765901
output/fp_num_683.vcd,0.765901
output/fp_num_701.vcd,0.765901
output/fp_num_695.vcd,0.765901
output/fp_num_689.vcd,0.765901
output/fp_num_677.vcd,0.765901
output/fp_num_694.vcd,0.765901
output/fp_num_698.vcd,0.765901
output/fp_num_685.vcd,0.765901
output/fp_num_691.vcd,0.765901
output/fp_num_686.vcd,0.765901
output/fp_num_681.vcd,0.765901
output/fp_num_678.vcd,0.765901
output/fp_num_697.vcd,0.765901
output/fp_num_690.vcd,0.765901
output/fp_num_696.vcd,0.765901
output/fp_num_702.vcd,0.765901
output/fp_num_692.vcd,0.765901
output/fp_num_675.vcd,0.765901
output/fp_num_699.vcd,0.765901
output/fp_num_688.vcd,0.765901
output/fp_num_676.vcd,0.765901
output/fp_num_687.vcd,0.765901
output/fp_num_684.vcd,0.765901
output/fp_num_679.vcd,0.765901
output/fp_num_700.vcd,0.765901
output/fp_num_674.vcd,0.765901
output/fp_num_704.vcd,0.765901
output/fp_num_693.vcd,0.765901
output/fp_num_97.vcd,0.566101
output/fp_num_88.vcd,0.566101
output/fp_num_114.vcd,0.566101
output/fp_num_118.vcd,0.566101
output/fp_num_99.vcd,0.566101
output/fp_num_116.vcd,0.566101
output/fp_num_108.vcd,0.566101
output/fp_num_96.vcd,0.566101
output/fp_num_104.vcd,0.566101
output/fp_num_110.vcd,0.566101
output/fp_num_100.vcd,0.566101
output/fp_num_94.vcd,0.566101
output/fp_num_103.vcd,0.566101
output/fp_num_115.vcd,0.566101
output/fp_num_95.vcd,0.566101
output/fp_num_102.vcd,0.566101
output/fp_num_91.vcd,0.566101
output/fp_num_89.vcd,0.566101
output/fp_num_273.vcd,0.566101
output/fp_num_92.vcd,0.566101
output/fp_num_90.vcd,0.566101
output/fp_num_112.vcd,0.566101
output/fp_num_117.vcd,0.566101
output/fp_num_98.vcd,0.566101
output/fp_num_113.vcd,0.566101
output/fp_num_105.vcd,0.566101
output/fp_num_101.vcd,0.566101
output/fp_num_106.vcd,0.566101
output/fp_num_109.vcd,0.566101
output/fp_num_93.vcd,0.566101
output/fp_num_107.vcd,0.566101
output/fp_num_111.vcd,0.566101
output/fp_num_535.vcd,0.499500
output/fp_num_599.vcd,0.366300
output/fp_num_604.vcd,0.366300
output/fp_num_594.vcd,0.366300
output/fp_num_607.vcd,0.366300
output/fp_num_608.vcd,0.366300
output/fp_num_615.vcd,0.366300
output/fp_num_592.vcd,0.366300
output/fp_num_614.vcd,0.366300
output/fp_num_619.vcd,0.366300
output/fp_num_610.vcd,0.366300
output/fp_num_601.vcd,0.366300
output/fp_num_612.vcd,0.366300
output/fp_num_598.vcd,0.366300
output/fp_num_611.vcd,0.366300
output/fp_num_600.vcd,0.366300
output/fp_num_616.vcd,0.366300
output/fp_num_613.vcd,0.366300
output/fp_num_617.vcd,0.366300
output/fp_num_605.vcd,0.366300
output/fp_num_606.vcd,0.366300
output/fp_num_603.vcd,0.366300
output/fp_num_602.vcd,0.366300
output/fp_num_596.vcd,0.366300
output/fp_num_593.vcd,0.366300
output/fp_num_595.vcd,0.366300
output/fp_num_609.vcd,0.366300
output/fp_num_591.vcd,0.366300
output/fp_num_618.vcd,0.366300
output/fp_num_283.vcd,0.333000
output/fp_num_293.vcd,0.333000
output/fp_num_279.vcd,0.333000
output/fp_num_285.vcd,0.333000
output/fp_num_292.vcd,0.333000
output/fp_num_308.vcd,0.333000
output/fp_num_289.vcd,0.333000
output/fp_num_276.vcd,0.333000
output/fp_num_304.vcd,0.333000
output/fp_num_301.vcd,0.333000
output/fp_num_291.vcd,0.333000
output/fp_num_277.vcd,0.333000
output/fp_num_307.vcd,0.333000
output/fp_num_288.vcd,0.333000
output/fp_num_281.vcd,0.333000
output/fp_num_290.vcd,0.333000
